piece	sum	instruction	answer
1	10	Use 1 Blue and 2 Red	Red, Blue, Red
2	22	Use 1 Red and 2 Green	Red, Green, Green
3	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
4	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
5	15	Use 1 Blue and 2 Green	Green, Green, Blue
6	15	Use 2 Blue and 1 Green	Blue, Blue, Green
7	9	Use 2 Blue and 1 Green	Green, Blue, Blue
8	20	Use 1 Red and 2 Green	Green, Red, Green
9	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
10	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
11	18	Use 1 Red and 2 Green	Green, Green, Red
12	18	Use 1 Red and 2 Green	Green, Green, Red
13	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
14	15	Use 1 Blue and 2 Green	Green, Green, Blue
15	14	Use 2 Red and 1 Green	Green, Red, Red
16	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
17	16	Use 2 Red and 1 Green	Red, Green, Red
