answer
Blue, Yellow, Blue
Red, Blue, Red
Yellow, Blue, Blue
Green, Red, Green
Green, Red, Green
Yellow, Green, Yellow
Blue, Yellow, Blue
Blue, Yellow, Blue
Red, Green, Green
Red, Blue, Red
Red, Blue, Red
Blue, Yellow, Blue
Green, Red, Green
Green, Red, Green
Red, Blue, Red
Green, Red, Green
Red, Green, Green
Green, Red, Green
Blue, Blue, Green
Yellow, Blue, Blue
Red, Blue, Red
Yellow, Green, Yellow
Red, Green, Green
Green, Red, Red
Yellow, Blue, Blue
Yellow, Green, Yellow
Green, Red, Green
Green, Red, Red
Blue, Yellow, Blue
Blue, Yellow, Blue
Red, Green, Green
Blue, Yellow, Blue
Green, Red, Red
Green, Red, Red
Yellow, Blue, Blue
Red, Blue, Red
Blue, Blue, Green
Blue, Yellow, Blue
Red, Green, Green
Blue, Yellow, Blue
