answer
Yellow, Blue, Blue
Red, Blue, Red
Blue, Blue, Green
Green, Red, Red
Red, Green, Green
Red, Blue, Red
Yellow, Green, Yellow
Yellow, Green, Yellow
Red, Green, Green
Yellow, Green, Yellow
Green, Red, Red
Blue, Blue, Green
Red, Blue, Red
Red, Blue, Red
Red, Green, Green
Blue, Blue, Green
Red, Blue, Red
Green, Red, Green
Blue, Yellow, Blue
Yellow, Green, Yellow
Yellow, Green, Yellow
Blue, Blue, Green
Green, Red, Green
Yellow, Blue, Blue
Blue, Blue, Green
Blue, Blue, Green
Red, Green, Green
Blue, Yellow, Blue
Red, Blue, Red
Red, Green, Green
Blue, Yellow, Blue
Red, Green, Green
Green, Red, Red
Yellow, Green, Yellow
Yellow, Green, Yellow
Red, Green, Green
Yellow, Green, Yellow
Yellow, Blue, Blue
Blue, Yellow, Blue
Green, Red, Red
