answer
Yellow, Green, Yellow
Blue, Yellow, Blue
Green, Red, Green
Blue, Blue, Green
Yellow, Blue, Blue
Green, Red, Red
Yellow, Green, Yellow
Yellow, Green, Yellow
Yellow, Green, Yellow
Red, Blue, Red
Yellow, Blue, Blue
Yellow, Green, Yellow
Blue, Yellow, Blue
Red, Blue, Red
Blue, Blue, Green
Blue, Blue, Green
Red, Blue, Red
Green, Red, Red
Yellow, Green, Yellow
Green, Red, Green
Blue, Yellow, Blue
Green, Red, Red
Blue, Blue, Green
Red, Blue, Red
Red, Green, Green
Yellow, Blue, Blue
Green, Red, Red
Green, Red, Red
Blue, Blue, Green
Red, Blue, Red
Yellow, Blue, Blue
Yellow, Blue, Blue
Red, Green, Green
Green, Red, Green
Yellow, Blue, Blue
Green, Red, Green
Yellow, Green, Yellow
Red, Blue, Red
Green, Red, Green
Red, Blue, Red
