piece	mode	param1	param2
1	image	workpiece_3.png	
2	image	workpiece_2.png	
3	image	workpiece_4.png	
4	image	workpiece_8.png	
5	image	workpiece_5.png	
6	image	workpiece_6.png	
7	image	workpiece_3.png	
8	image	workpiece_3.png	
9	image	workpiece_3.png	
10	image	workpiece_1.png	
11	image	workpiece_5.png	
12	image	workpiece_3.png	
13	image	workpiece_2.png	
14	image	workpiece_1.png	
15	image	workpiece_8.png	
16	image	workpiece_8.png	
17	image	workpiece_1.png	
18	image	workpiece_6.png	
19	image	workpiece_3.png	
20	image	workpiece_4.png	
21	image	workpiece_2.png	
22	image	workpiece_6.png	
23	image	workpiece_8.png	
24	image	workpiece_1.png	
25	image	workpiece_7.png	
26	image	workpiece_5.png	
27	image	workpiece_6.png	
28	image	workpiece_6.png	
29	image	workpiece_8.png	
30	image	workpiece_1.png	
31	image	workpiece_5.png	
32	image	workpiece_5.png	
33	image	workpiece_7.png	
34	image	workpiece_4.png	
35	image	workpiece_5.png	
36	image	workpiece_4.png	
37	image	workpiece_3.png	
38	image	workpiece_1.png	
39	image	workpiece_4.png	
40	image	workpiece_1.png	
