answer
Blue, Blue, Green
Yellow, Green, Yellow
Yellow, Green, Green
Yellow, Blue, Yellow
Green, Red, Red
Yellow, Blue, Blue
Blue, Yellow, Yellow
Blue, Red, Blue
Blue, Blue, Green
Green, Red, Red
Red, Green, Red
Green, Blue, Blue
Red, Green, Green
Blue, Blue, Green
Yellow, Red, Yellow
Blue, Green, Blue
Green, Red, Red
Red, Blue, Red
Yellow, Yellow, Green
Blue, Blue, Red
Yellow, Green, Yellow
Green, Red, Red
Blue, Red, Blue
Green, Yellow, Yellow
Yellow, Green, Yellow
Yellow, Green, Yellow
Green, Green, Red
Blue, Blue, Green
Yellow, Blue, Blue
Green, Red, Red
Green, Red, Green
Blue, Yellow, Yellow
Green, Red, Red
Yellow, Green, Yellow
Green, Green, Blue
Red, Red, Green
Red, Green, Green
Green, Red, Green
Blue, Red, Red
Blue, Blue, Yellow
