answer
Green, Red, Red
Red, Blue, Red
Green, Green, Blue
Yellow, Yellow, Blue
Green, Red, Green
Yellow, Blue, Blue
Blue, Blue, Red
Yellow, Red, Red
Red, Blue, Red
Green, Red, Green
Yellow, Yellow, Green
Blue, Red, Blue
Green, Red, Red
Blue, Blue, Green
Blue, Red, Red
Red, Green, Red
Yellow, Green, Yellow
Red, Blue, Red
Red, Green, Red
Blue, Red, Blue
Red, Green, Green
Green, Red, Green
Yellow, Yellow, Blue
Blue, Yellow, Yellow
Red, Green, Green
Blue, Blue, Green
Red, Blue, Red
Blue, Red, Blue
Green, Red, Green
Yellow, Green, Yellow
Yellow, Yellow, Blue
Red, Yellow, Red
Green, Red, Red
Yellow, Blue, Blue
Blue, Red, Blue
Green, Green, Blue
Green, Red, Red
Green, Red, Green
Green, Green, Red
Blue, Red, Blue
