answer
Blue, Yellow, Blue
Yellow, Green, Yellow
Blue, Green, Blue
Green, Green, Red
Blue, Blue, Green
Blue, Blue, Green
Yellow, Green, Yellow
Yellow, Green, Yellow
Yellow, Blue, Blue
Green, Red, Green
Yellow, Red, Red
Red, Yellow, Yellow
Blue, Blue, Green
Green, Red, Green
Yellow, Blue, Yellow
Green, Blue, Green
Blue, Yellow, Blue
Blue, Yellow, Blue
Green, Red, Green
Green, Yellow, Green
Yellow, Blue, Blue
Red, Green, Green
Yellow, Green, Green
Red, Green, Red
Red, Green, Green
Red, Green, Green
Blue, Blue, Yellow
Yellow, Red, Yellow
Yellow, Green, Yellow
Red, Green, Green
Red, Yellow, Yellow
Yellow, Green, Green
Green, Red, Green
Yellow, Blue, Blue
Yellow, Blue, Blue
Red, Green, Green
Red, Blue, Red
Red, Green, Green
Green, Yellow, Yellow
Blue, Blue, Yellow
