answer
Green, Red, Green
Green, Red, Red
Yellow, Green, Yellow
Red, Red, Blue
Green, Red, Green
Green, Red, Green
Blue, Blue, Green
Green, Green, Yellow
Green, Red, Green
Green, Red, Red
Green, Red, Green
Green, Blue, Blue
Yellow, Blue, Blue
Green, Red, Green
Blue, Green, Blue
Blue, Blue, Red
Blue, Blue, Green
Green, Red, Red
Yellow, Red, Red
Blue, Green, Green
Green, Red, Red
Green, Red, Green
Green, Green, Red
Green, Yellow, Yellow
Green, Red, Green
Blue, Yellow, Blue
Green, Yellow, Yellow
Yellow, Green, Yellow
Yellow, Blue, Blue
Green, Red, Green
Blue, Yellow, Blue
Yellow, Red, Yellow
Yellow, Blue, Blue
Red, Green, Green
Green, Blue, Green
Green, Red, Red
Red, Green, Green
Blue, Yellow, Blue
Green, Green, Red
Red, Red, Green
