answer
Blue, Blue, Green
Yellow, Blue, Blue
Blue, Blue, Green
Red, Green, Green
Yellow, Green, Yellow
Green, Red, Red
Green, Red, Green
Blue, Blue, Green
Red, Blue, Red
Red, Green, Green
Green, Red, Green
Blue, Blue, Green
Blue, Blue, Green
Yellow, Blue, Blue
Green, Red, Red
Green, Red, Green
Green, Red, Green
Yellow, Green, Yellow
Blue, Blue, Green
Green, Red, Red
Red, Green, Green
Red, Green, Green
Yellow, Blue, Blue
Red, Blue, Red
Blue, Yellow, Blue
Blue, Yellow, Blue
Green, Red, Green
Yellow, Blue, Blue
Red, Green, Green
Blue, Yellow, Blue
Red, Blue, Red
Blue, Yellow, Blue
Green, Red, Green
Yellow, Blue, Blue
Blue, Blue, Green
Red, Blue, Red
Yellow, Blue, Blue
Red, Green, Green
Yellow, Green, Yellow
Yellow, Blue, Blue
