piece	sum	instruction	answer
1	9	Use 1 Blue and 2 Red	Red, Red, Blue
2	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
3	9	Use 2 Blue and 1 Red	Blue, Blue, Red
4	18	Use 2 Red and 1 Green	Red, Red, Green
5	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
6	10	Use 1 Blue and 2 Red	Red, Blue, Red
7	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
8	18	Use 1 Blue and 2 Green	Green, Blue, Green
9	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
10	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
11	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
12	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
13	9	Use 1 Blue and 2 Red	Red, Red, Blue
14	12	Use 2 Blue and 1 Green	Blue, Green, Blue
15	11	Use 1 Blue and 2 Red	Blue, Red, Red
16	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
17	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
