answer
Green, Red, Green
Yellow, Blue, Blue
Blue, Yellow, Blue
Green, Red, Red
Green, Red, Green
Blue, Blue, Green
Yellow, Green, Yellow
Blue, Yellow, Blue
Yellow, Blue, Blue
Blue, Blue, Green
Green, Red, Green
Red, Green, Green
Red, Green, Green
Yellow, Green, Yellow
Green, Red, Red
Yellow, Blue, Blue
Blue, Blue, Green
Blue, Yellow, Blue
Red, Green, Green
Blue, Yellow, Blue
Blue, Blue, Green
Blue, Yellow, Blue
Blue, Blue, Green
Yellow, Blue, Blue
Green, Red, Red
Red, Blue, Red
Green, Red, Red
Red, Green, Green
Red, Green, Green
Yellow, Green, Yellow
Green, Red, Red
Red, Green, Green
Blue, Yellow, Blue
Blue, Blue, Green
Blue, Yellow, Blue
Red, Blue, Red
Red, Blue, Red
Green, Red, Green
Blue, Blue, Green
Red, Green, Green
