answer
Red, Blue, Red
Blue, Blue, Green
Blue, Blue, Yellow
Yellow, Green, Yellow
Red, Blue, Red
Yellow, Blue, Blue
Yellow, Green, Green
Red, Blue, Blue
Green, Red, Red
Red, Green, Green
Red, Yellow, Red
Yellow, Yellow, Red
Green, Red, Red
Blue, Blue, Green
Green, Yellow, Green
Blue, Blue, Yellow
Yellow, Green, Yellow
Green, Red, Red
Red, Yellow, Yellow
Green, Red, Red
Yellow, Blue, Blue
Blue, Blue, Green
Green, Yellow, Green
Blue, Green, Green
Yellow, Blue, Blue
Blue, Blue, Green
Yellow, Yellow, Red
Red, Red, Green
Yellow, Green, Yellow
Green, Red, Green
Red, Yellow, Yellow
Yellow, Blue, Blue
Blue, Blue, Green
Blue, Blue, Green
Blue, Red, Blue
Red, Blue, Red
Red, Blue, Red
Yellow, Blue, Blue
Blue, Red, Blue
Blue, Yellow, Yellow
