piece	sum	instruction	answer
1	18	Use 2 Red and 1 Green	Red, Red, Green
2	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
3	16	Use 2 Red and 1 Green	Red, Green, Red
4	15	Use 2 Blue and 1 Green	Blue, Blue, Green
5	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
6	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
7	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
8	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
9	9	Use 2 Blue and 1 Green	Green, Blue, Blue
10	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
11	10	Use 1 Blue and 2 Red	Red, Blue, Red
12	18	Use 1 Red and 2 Green	Green, Green, Red
13	15	Use 2 Blue and 1 Green	Blue, Blue, Green
14	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
15	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
16	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
17	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
