answer
Red, Blue, Red
Green, Red, Green
Green, Red, Green
Red, Green, Green
Blue, Blue, Green
Yellow, Blue, Blue
Blue, Blue, Green
Blue, Blue, Green
Red, Blue, Red
Yellow, Green, Yellow
Blue, Yellow, Blue
Red, Green, Green
Green, Red, Red
Blue, Yellow, Blue
Blue, Blue, Green
Red, Blue, Red
Yellow, Blue, Blue
Blue, Yellow, Blue
Yellow, Green, Yellow
Red, Green, Green
Blue, Blue, Green
Red, Blue, Red
Red, Blue, Red
Green, Red, Green
Yellow, Green, Yellow
Red, Blue, Red
Blue, Yellow, Blue
Blue, Blue, Green
Yellow, Blue, Blue
Green, Red, Green
Yellow, Blue, Blue
Green, Red, Green
Red, Green, Green
Green, Red, Green
Yellow, Blue, Blue
Red, Green, Green
Green, Red, Green
Green, Red, Red
Green, Red, Green
Red, Blue, Red
