answer
Green, Red, Red
Green, Red, Green
Green, Red, Green
Yellow, Blue, Blue
Green, Red, Red
Red, Blue, Red
Red, Green, Green
Blue, Blue, Green
Blue, Blue, Green
Green, Red, Green
Red, Blue, Red
Blue, Blue, Green
Yellow, Blue, Blue
Blue, Yellow, Blue
Red, Green, Green
Red, Blue, Red
Yellow, Green, Yellow
Green, Red, Green
Blue, Blue, Green
Yellow, Blue, Blue
Green, Red, Red
Green, Red, Red
Blue, Yellow, Blue
Green, Red, Green
Red, Green, Green
Red, Blue, Red
Blue, Blue, Green
Red, Green, Green
Blue, Blue, Green
Blue, Blue, Green
Green, Red, Red
Yellow, Blue, Blue
Red, Blue, Red
Red, Green, Green
Red, Blue, Red
Red, Green, Green
Red, Green, Green
Blue, Blue, Green
Red, Green, Green
Red, Blue, Red
