answer
Red, Green, Green
Red, Green, Green
Blue, Yellow, Blue
Yellow, Green, Yellow
Yellow, Green, Yellow
Red, Green, Green
Red, Red, Yellow
Blue, Yellow, Yellow
Yellow, Green, Yellow
Yellow, Green, Yellow
Blue, Blue, Yellow
Blue, Red, Red
Green, Red, Green
Yellow, Green, Yellow
Yellow, Green, Green
Red, Yellow, Red
Green, Red, Green
Blue, Yellow, Blue
Blue, Blue, Yellow
Red, Red, Blue
Green, Red, Red
Blue, Yellow, Blue
Yellow, Red, Yellow
Green, Green, Red
Blue, Yellow, Blue
Blue, Blue, Green
Blue, Red, Red
Blue, Red, Red
Blue, Blue, Green
Red, Green, Green
Blue, Red, Blue
Green, Yellow, Yellow
Yellow, Green, Yellow
Red, Blue, Red
Green, Red, Red
Red, Yellow, Yellow
Blue, Blue, Green
Green, Red, Red
Red, Red, Blue
Red, Green, Green
