answer
Yellow, Green, Yellow
Red, Green, Green
Blue, Green, Green
Red, Red, Blue
Blue, Yellow, Blue
Red, Blue, Red
Green, Green, Red
Blue, Green, Green
Green, Red, Red
Red, Green, Green
Red, Yellow, Yellow
Red, Red, Blue
Blue, Yellow, Blue
Green, Red, Green
Blue, Blue, Green
Blue, Red, Blue
Green, Red, Red
Red, Blue, Red
Blue, Blue, Green
Yellow, Yellow, Red
Green, Red, Red
Green, Red, Green
Blue, Red, Blue
Red, Yellow, Yellow
Green, Red, Green
Yellow, Green, Yellow
Yellow, Yellow, Green
Blue, Yellow, Yellow
Blue, Blue, Green
Green, Red, Green
Yellow, Green, Yellow
Green, Green, Red
Blue, Blue, Green
Red, Green, Green
Red, Green, Green
Blue, Green, Green
Green, Red, Red
Red, Blue, Red
Yellow, Yellow, Blue
Green, Blue, Blue
