piece	sum	instruction	answer
1	7	Use 2 Blue and 1 Red	Red, Blue, Blue
2	9	Use 2 Blue and 1 Red	Blue, Blue, Red
3	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
4	14	Use 2 Red and 1 Green	Green, Red, Red
5	11	Use 1 Blue and 2 Red	Blue, Red, Red
6	14	Use 2 Red and 1 Green	Green, Red, Red
7	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
8	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
9	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
10	15	Use 1 Blue and 2 Green	Green, Green, Blue
11	22	Use 1 Red and 2 Green	Red, Green, Green
12	11	Use 1 Blue and 2 Red	Blue, Red, Red
13	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
14	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
15	11	Use 1 Blue and 2 Red	Blue, Red, Red
16	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
17	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
