answer
Red, Green, Green
Blue, Blue, Green
Red, Green, Green
Green, Red, Green
Green, Red, Green
Red, Green, Green
Red, Blue, Red
Red, Green, Green
Blue, Blue, Green
Blue, Blue, Green
Red, Blue, Red
Green, Red, Red
Green, Red, Green
Green, Red, Green
Blue, Blue, Green
Green, Red, Green
Red, Green, Green
Green, Red, Red
Blue, Blue, Green
Yellow, Green, Yellow
Red, Green, Green
Blue, Blue, Green
Red, Blue, Red
Green, Red, Green
Yellow, Blue, Blue
Blue, Blue, Green
Blue, Blue, Green
Blue, Blue, Green
Yellow, Blue, Blue
Red, Blue, Red
Yellow, Green, Yellow
Blue, Yellow, Blue
Red, Blue, Red
Red, Green, Green
Yellow, Blue, Blue
Red, Blue, Red
Yellow, Green, Yellow
Green, Red, Green
Green, Red, Green
Blue, Yellow, Blue
