subject,condition,difficulty,task_info,time_taken_s,handover_point,overtime_alarm,assembly_status
1,manual,hard,sum_8_Assemble accordingly,19.621,1,False,none
1,manual,hard,sum_6_Assemble accordingly,20.124,2,False,none
1,manual,hard,sum_6_Assemble accordingly,19.61,1,False,none
1,manual,hard,sum_6_Assemble accordingly,20.27,2,False,none
1,manual,hard,sum_9_Assemble accordingly,20.113,1,False,none
1,manual,hard,sum_6_Assemble accordingly,18.392,2,False,none
1,manual,hard,sum_6_Assemble accordingly,21.415,1,False,none
1,manual,hard,sum_9_Assemble accordingly,24.649,2,False,none
1,manual,hard,sum_9_Assemble accordingly,13.291,1,False,none
1,manual,hard,sum_6_Assemble accordingly,13.336,2,False,none
1,manual,hard,sum_9_Assemble accordingly,20.854,1,True,none
1,manual,hard,sum_6_Assemble accordingly,12.242,2,False,none
1,manual,hard,sum_7_Assemble accordingly,13.342,1,False,none
1,manual,hard,sum_9_Assemble accordingly,10.693,2,False,none
1,manual,hard,sum_9_Assemble accordingly,11.894,1,False,none
1,manual,hard,sum_9_Assemble accordingly,13.13,2,False,none
