subject,condition,difficulty,task_info,time_taken_s,handover_point,overtime_alarm,assembly_status
1,manual,hard,sum_20_Use 1 Red and 2 Green,16.865,1,False,correct
1,manual,hard,sum_23_Use 1 Yellow and 2 Green,18.352,2,False,correct
1,manual,hard,sum_20_Use 2 Yellow and 1 Green,18.14,1,False,none
1,manual,hard,sum_20_Use 1 Red and 2 Green,16.794,2,False,incorrect
1,manual,hard,sum_21_Use 2 Yellow and 1 Green,17.356,1,False,correct
1,manual,hard,sum_13_Use 2 Red and 1 Yellow,18.813,2,False,incorrect
1,manual,hard,sum_20_Use 1 Red and 2 Green,16.474,1,False,correct
1,manual,hard,sum_23_Use 1 Yellow and 2 Green,17.544,2,False,none
1,manual,hard,sum_20_Use 2 Yellow and 1 Green,17.885,1,False,correct
1,manual,hard,sum_20_Use 1 Red and 2 Green,17.605,2,False,correct
1,manual,hard,sum_21_Use 2 Yellow and 1 Green,20.282,1,True,none
1,manual,hard,sum_13_Use 2 Red and 1 Yellow,15.155,2,False,none
1,manual,hard,sum_12_Use 2 Blue and 1 Yellow,17.879,1,False,correct
1,manual,hard,sum_21_Use 2 Yellow and 1 Green,19.869,2,False,correct
