subject,condition,difficulty,task_info,time_taken_s,handover_point,overtime_alarm,assembly_status
1,manual,hard,sum_14_Use 1 Blue and 2 Yellow,16.04,1,False,incorrect
1,manual,hard,sum_7_Use 2 Blue and 1 Red,16.07,2,False,correct
1,manual,hard,sum_22_Use 1 Red and 2 Green,22.188,1,False,correct
1,manual,hard,sum_8_Use 2 Blue and 1 Yellow,14.565,2,False,correct
1,manual,hard,sum_12_Use 2 Blue and 1 Green,23.79,1,False,correct
1,manual,hard,sum_14_Use 2 Red and 1 Yellow,23.948,2,False,correct
1,manual,hard,sum_8_Use 2 Blue and 1 Red,23.304,1,False,none
1,manual,hard,sum_17_Use 1 Red and 2 Yellow,11.42,1,False,correct
1,manual,hard,sum_21_Use 1 Blue and 2 Green,13.428,2,False,correct
1,manual,hard,sum_21_Use 1 Blue and 2 Green,11.922,1,False,none
1,manual,hard,sum_15_Use 2 Blue and 1 Green,12.629,2,False,correct
1,manual,hard,sum_18_Use 2 Red and 1 Green,13.425,1,False,correct
1,manual,hard,sum_14_Use 2 Red and 1 Green,11.688,2,False,correct
1,manual,hard,sum_20_Use 1 Red and 2 Green,12.777,1,False,correct
1,manual,hard,sum_7_Use 2 Blue and 1 Red,13.284,2,False,correct
1,manual,hard,sum_18_Use 2 Red and 1 Green,14.783,1,False,correct
