subject,condition,difficulty,task_info,time_taken_s,handover_point,overtime_alarm,assembly_status
1,training,easy,sum_7_Assemble accordingly,11.037,1,False,none
1,training,easy,sum_7_Assemble accordingly,67.052,1,True,none
1,training,easy,sum_8_Assemble accordingly,29.62,2,True,none
1,training,easy,sum_9_Assemble accordingly,23.019,1,False,none
1,training,easy,sum_6_Assemble accordingly,16.791,1,False,none
1,training,easy,sum_7_Assemble accordingly,23.387,2,False,none
1,training,easy,sum_9_Assemble accordingly,24.733,1,False,none
1,training,easy,sum_9_Assemble accordingly,22.599,2,False,none
1,training,easy,sum_21_Use 1 Blue and 2 Green,9.113,1,False,correct
1,training,easy,sum_15_Use 1 Red and 2 Yellow,23.687,2,False,incorrect
1,training,easy,sum_21_Use 1 Blue and 2 Green,35.003,1,True,none
1,training,easy,sum_21_Use 1 Blue and 2 Green,31.593,1,True,none
1,training,easy,sum_21_Use 1 Blue and 2 Green,168.607,1,True,none
1,training,easy,sum_21_Use 1 Blue and 2 Green,3.769,1,False,none
1,training,easy,sum_15_Use 1 Red and 2 Yellow,21.967,2,True,none
1,training,easy,sum_20_Use 1 Red and 2 Green,2.416,1,False,incorrect
1,training,easy,sum_20_Use 1 Red and 2 Green,1.606,1,False,incorrect
